seq,timestamp,data_source,flight_state,imu_accel_x,imu_accel_y,imu_accel_z,gyro_x,gyro_y,gyro_z,barometric_pressure,altitude,vertical_velocity,temperature,latitude,longitude,gps_altitude,gps_fix,gps_satellites,battery_voltage,separation_detected,quality_flags,crc16
0,0.000000,SIMULATED,PRELAUNCH,-0.059,-0.023,9.787,0.009,-0.099,-0.061,101323.0,0.00,0.00,23.97,,,,0,3,4.101,0,0,F4C7
1,0.020000,SIMULATED,PRELAUNCH,0.040,-0.102,9.848,0.022,0.018,-0.004,101321.9,0.04,0.00,,,,,,,,0,0,A174
2,0.040000,SIMULATED,PRELAUNCH,0.005,0.091,9.678,0.059,0.070,-0.107,101326.7,-0.23,-0.28,,,,,,,,0,0,2730
3,0.060000,SIMULATED,PRELAUNCH,0.003,0.000,9.799,-0.057,0.019,0.151,101327.1,-0.20,-0.46,,,,,,,,0,0,2DBA
4,0.080000,SIMULATED,PRELAUNCH,0.008,-0.012,9.855,0.375,-0.043,0.008,101318.6,0.40,0.92,,,,,,,,0,0,862F
5,0.100000,SIMULATED,PRELAUNCH,-0.055,0.096,9.807,-0.027,0.005,0.207,101331.4,-0.55,-0.79,,,,,,,,0,0,8458
6,0.120000,SIMULATED,PRELAUNCH,-0.010,-0.090,9.744,-0.158,-0.182,0.099,101326.8,-0.14,-0.75,,,,,,,,0,0,D593
7,0.140000,SIMULATED,PRELAUNCH,-0.069,0.054,9.789,-0.044,0.214,-0.014,101320.5,0.33,0.66,,,,,,,,0,0,9DC9
8,0.160000,SIMULATED,PRELAUNCH,-0.095,-0.054,9.739,-0.100,-0.135,0.041,101322.9,0.12,0.95,,,,,,,,0,0,873D
9,0.180000,SIMULATED,PRELAUNCH,0.009,-0.020,9.837,0.155,0.072,-0.028,101323.5,0.06,0.97,,,,,,,,0,0,65B3
10,0.200000,SIMULATED,PRELAUNCH,0.124,-0.030,9.783,-0.162,0.074,-0.147,101323.3,0.07,0.96,,,,,,,,0,0,611E
11,0.220000,SIMULATED,PRELAUNCH,0.032,-0.043,9.797,0.097,0.012,0.040,101322.3,0.15,1.05,,,,,,,,0,0,41A4
12,0.240000,SIMULATED,PRELAUNCH,0.036,0.039,9.862,-0.090,-0.011,-0.017,101319.5,0.34,1.40,,,,,,,,0,0,3E99
13,0.260000,SIMULATED,PRELAUNCH,0.041,-0.010,9.716,-0.210,-0.015,-0.120,101327.2,-0.27,0.70,,,,,,,,0,0,E617
14,0.280000,SIMULATED,PRELAUNCH,-0.011,-0.037,9.836,-0.035,-0.057,-0.133,101329.8,-0.45,-0.03,,,,,,,,0,0,5DC7
15,0.300000,SIMULATED,PRELAUNCH,-0.036,0.033,9.766,-0.066,-0.144,-0.173,101321.8,0.19,0.23,,,,,,,,0,0,9D0F
16,0.320000,SIMULATED,PRELAUNCH,0.034,-0.054,9.807,-0.223,-0.213,-0.158,101328.0,-0.30,-0.11,,,,,,,,0,0,59F8
17,0.340000,SIMULATED,PRELAUNCH,0.082,0.006,9.773,-0.139,0.086,0.156,101318.5,0.46,0.36,,,,,,,,0,0,D0CD
18,0.360000,SIMULATED,PRELAUNCH,-0.082,0.038,9.835,-0.034,-0.038,0.034,101322.4,0.13,0.41,,,,,,,,0,0,8263
19,0.380000,SIMULATED,PRELAUNCH,0.039,-0.013,9.846,0.140,-0.020,0.125,101318.7,0.42,0.66,,,,,,,,0,0,3D51
20,0.400000,SIMULATED,PRELAUNCH,-0.009,0.003,9.918,0.045,0.050,0.013,101321.3,0.19,0.68,,,,,,,,0,0,9BF3
21,0.420000,SIMULATED,PRELAUNCH,0.062,0.010,9.809,0.061,0.189,0.058,101327.5,-0.31,0.37,,,,,,,,0,0,D0B5
22,0.440000,SIMULATED,PRELAUNCH,0.014,0.041,9.833,0.110,-0.296,0.052,101326.7,-0.24,0.17,,,,,,,,0,0,236D
23,0.460000,SIMULATED,PRELAUNCH,0.002,-0.049,9.824,-0.132,0.038,0.023,101325.2,-0.11,0.09,,,,,,,,0,0,1A7A
24,0.480000,SIMULATED,PRELAUNCH,-0.063,-0.029,9.814,-0.049,-0.033,0.008,101331.1,-0.57,-0.20,,,,,,,,0,0,1737
25,0.500000,SIMULATED,PRELAUNCH,0.071,-0.052,9.816,-0.003,0.028,-0.108,101321.4,0.23,-0.07,,,,,,,,0,0,4D30
26,0.520000,SIMULATED,PRELAUNCH,0.006,-0.054,9.866,0.021,0.060,0.025,101327.9,-0.31,-0.19,,,,,,,,0,0,4BAC
