rx_time_s,packet_hex
0.000,A56602F9000000000000000003000000000000D303D3035D09000000800000008000000080051062CD
0.200,A56602F90100C8000000000003010000006000D203D2035D09000000800000008000000080051024F7
0.400,A56602F9020090010000000003020000004400E003E0035D0900000080000000800000008005100E1E
0.600,A56602F903005802000000000300000000FAFFD003D0035D09000000800000008000000080051096CC
0.800,A56602F9040020030000000003FFFFFFFFF7FFD503D5035D09000000800000008000000080051050B0
1.200,A56602F90600B0040000000003FFFFFFFFFCFFD103D1034E09000000800000008000000080031042D5
1.400,A56602F9070078050000000003010000000A00D103D1034E0900000080000000800000008003103CBF
1.600,A56602F9080040060000000003000000000500CD03CD034E09000000800000008000000080031051A3
1.800,A56602F9090008070000000003000000000000DB03DB034E0900000080000000800000008003103C3E
2.000,A56602FB0A00D007000000030900000000FDFFD603D603550935FFFFFFA8FFFFFF0F0000000410E0EC
2.200,A56602FB0B0098080000000309000000000100D903D903550935FFFFFFA8FFFFFF0F0000000410F7AF
2.400,A56602FB0C0060090000000309000000000000D703D703550935FFFFFFA8FFFFFF0F00000004106421
2.600,A56602FB0D00280A000000030900000000FEFFD703D703550935FFFFFFA8FFFFFF0F00000004109212
2.800,A56602FB0E00F00A0000000309000000000000CA03CA03550935FFFFFFA8FFFFFF0F00000004109DA8
3.000,A56602FB0F00B80B0000000309000000000200D303D30348091E000000A1FFFFFF3700000004107A67
3.200,A56602FB1000800C0000000309000000000000CF03CF0348091E000000A1FFFFFF370000000410E325
3.400,A56602FB1100480D0000000309000000000100D903D90348091E000000A1FFFFFF370000000410CDD9
3.600,A56602FB1200100E0000000309000000000200D603D60348091E000000A1FFFFFF3700000004108708
3.800,A56602FB1300D80E0000000309000000000000D303D30348091E000000A1FFFFFF3700000004108CDC
4.000,A56602FB1400A00F0000000309000000000100D903D903420905010000290000001000000001100617
4.200,A56602FB150068100000000309000000000100DE03DE0342090501000029000000100000000110DC33
4.400,A56602FB16003011000000030900000000FFFFD103D103420905010000290000001000000001101E14
4.600,A56602FB1700F811000000030900000000FEFFD603D6034209050100002900000010000000011058ED
4.800,A56602FB1800C012000000030900000000FFFFDA03DA0342090501000029000000100000000110AAE6
5.000,A56602FB19008813000000030900000000FCFFD703D7034309220000004D0000002100000000105A33
5.200,A56602FB1A005014000000030900000000FCFFD603D6034309220000004D000000210000000010DB16
5.400,A56602FB1B0018150000000309FFFFFFFFFBFFD403D4034309220000004D0000002100000000100530
5.600,A56602FB1C00E015000000030900000000FFFFD303D3034309220000004D000000210000000010D97B
5.800,A56602FB1D00A8160000000309000000000000D603D6034309220000004D0000002100000000101EC6
6.000,A56602FB1E0070170000000309000000000100DA03DA0332095800000041FFFFFFF2FFFFFFFE0FA7F7
6.200,A56602FB1F003818000000030900000000FEFFDE03DE0332095800000041FFFFFFF2FFFFFFFE0FA910
6.400,A56602FB20000019000000030900000000FEFFD203D20332095800000041FFFFFFF2FFFFFFFE0FB5F0
6.600,A56602FB2100C8190000000309FFFFFFFFFEFFD403D40332095800000041FFFFFFF2FFFFFFFE0F6D7E
6.800,A56602FB2200901A000000030900000000FFFFD403D40332095800000041FFFFFFF2FFFFFFFE0F499F
7.000,A56602FB2300581B0000000309000000000000D503D5032A09C1FFFFFFCDFFFFFF56000000FD0F9FBD
