timestamp,data_source,imu_accel_x,imu_accel_y,imu_accel_z,gyro_x,gyro_y,gyro_z,barometric_pressure,latitude,longitude,gps_altitude,gps_fix,gps_satellites,temperature,battery_voltage,separation_detected
0.000,SYNTHETIC,0.007,0.030,9.789,0.001,-0.101,-0.091,101323.2,,,,0,3,24.07,4.101,0
0.020,SYNTHETIC,0.033,0.088,9.815,0.130,-0.077,0.045,101321.9,,,,,,,,0
0.040,SYNTHETIC,-0.012,0.068,9.788,-0.170,-0.027,0.037,101324.1,,,,,,,,0
0.060,SYNTHETIC,-0.013,0.030,9.809,0.074,-0.089,0.058,101322.2,,,,,,,,0
0.080,SYNTHETIC,0.002,-0.026,9.892,0.123,0.027,0.122,101325.0,,,,,,,,0
0.100,SYNTHETIC,0.081,-0.026,9.824,0.004,-0.193,-0.197,101323.6,,,,,,,,0
0.120,SYNTHETIC,0.013,-0.011,9.804,-0.085,-0.120,0.008,101326.0,,,,,,,,0
0.140,SYNTHETIC,0.022,0.017,9.798,-0.086,0.025,-0.191,101330.6,,,,,,,,0
0.160,SYNTHETIC,0.092,-0.019,9.771,0.020,0.102,-0.017,101322.1,,,,,,,,0
0.180,SYNTHETIC,0.020,0.068,9.842,-0.049,0.017,-0.192,101327.4,,,,,,,,0
0.200,SYNTHETIC,-0.026,-0.063,9.865,-0.037,0.103,-0.022,101324.9,,,,,,,,0
0.220,SYNTHETIC,0.010,0.010,9.808,-0.036,-0.174,-0.093,101324.2,,,,,,,,0
0.240,SYNTHETIC,0.077,0.024,9.729,0.181,0.047,0.023,101322.8,,,,,,,,0
0.260,SYNTHETIC,0.036,-0.037,9.793,-0.140,0.007,-0.102,101328.0,,,,,,,,0
0.280,SYNTHETIC,0.060,-0.007,9.823,0.132,-0.009,0.205,101320.9,,,,,,,,0
0.300,SYNTHETIC,0.096,-0.037,9.861,-0.169,-0.071,0.014,101321.9,,,,,,,,0
0.320,SYNTHETIC,0.036,0.117,9.791,0.019,0.050,0.050,101325.6,,,,,,,,0
0.340,SYNTHETIC,-0.079,0.095,9.827,0.139,-0.083,-0.044,101326.0,,,,,,,,0
0.360,SYNTHETIC,-0.022,0.049,9.799,0.132,-0.083,0.070,101322.9,,,,,,,,0
0.380,SYNTHETIC,0.045,-0.011,9.744,-0.082,0.104,-0.190,101328.1,,,,,,,,0
0.400,SYNTHETIC,-0.047,-0.031,9.847,0.071,0.051,0.004,101324.9,,,,,,,,0
0.420,SYNTHETIC,-0.090,0.009,9.800,-0.038,-0.024,0.038,101328.0,,,,,,,,0
0.440,SYNTHETIC,-0.044,-0.032,9.878,0.094,0.125,0.076,101321.9,,,,,,,,0
0.460,SYNTHETIC,0.069,0.141,9.786,-0.036,-0.068,-0.034,101318.7,,,,,,,,0
0.480,SYNTHETIC,0.046,-0.039,9.802,0.146,0.141,0.071,101322.2,,,,,,,,0
0.500,SYNTHETIC,-0.019,0.140,9.823,0.090,-0.030,0.118,101321.3,,,,,,,,0
0.520,SYNTHETIC,0.003,0.038,9.806,-0.126,0.065,-0.049,101323.8,,,,,,,,0
0.540,SYNTHETIC,-0.142,0.030,9.877,-0.115,0.056,-0.157,101324.3,,,,,,,,0
0.560,SYNTHETIC,0.007,-0.057,9.828,-0.052,-0.040,0.028,101325.4,,,,,,,,0
0.580,SYNTHETIC,0.039,-0.022,9.775,0.024,0.012,-0.060,101323.8,,,,,,,,0
0.600,SYNTHETIC,-0.060,0.023,9.866,-0.049,0.165,-0.047,101325.2,,,,,,,,0
0.620,SYNTHETIC,-0.003,0.100,9.796,-0.075,-0.047,0.147,101332.0,,,,,,,,0
0.640,SYNTHETIC,0.003,-0.053,9.739,0.026,0.063,-0.114,101322.3,,,,,,,,0
0.660,SYNTHETIC,-0.015,-0.016,9.733,0.077,-0.093,-0.094,101325.4,,,,,,,,0
0.680,SYNTHETIC,-0.059,-0.048,9.752,-0.030,-0.022,0.013,101329.3,,,,,,,,0
0.700,SYNTHETIC,0.083,0.003,9.749,-0.282,-0.024,-0.041,101316.2,,,,,,,,0
0.720,SYNTHETIC,0.087,0.018,9.864,0.053,-0.153,-0.169,101322.4,,,,,,,,0
0.740,SYNTHETIC,-0.096,0.010,9.778,0.005,-0.138,-0.008,101326.1,,,,,,,,0
0.760,SYNTHETIC,0.009,0.019,9.811,0.082,0.096,0.022,101326.6,,,,,,,,0
0.780,SYNTHETIC,0.033,0.119,9.810,0.082,-0.029,0.075,101328.0,,,,,,,,0
0.800,SYNTHETIC,0.023,-0.017,9.817,0.073,-0.226,0.063,101327.1,,,,,,,,0
0.820,SYNTHETIC,0.080,0.011,9.826,-0.070,0.048,-0.031,101327.6,,,,,,,,0
0.840,SYNTHETIC,-0.052,-0.004,9.802,0.009,-0.017,0.071,101327.5,,,,,,,,0
0.860,SYNTHETIC,-0.013,-0.012,9.809,-0.006,-0.098,-0.006,101324.0,,,,,,,,0
0.880,SYNTHETIC,0.029,0.090,9.719,-0.144,0.175,0.019,101324.5,,,,,,,,0
0.900,SYNTHETIC,-0.026,-0.044,9.811,0.222,-0.016,-0.046,101330.2,,,,,,,,0
0.920,SYNTHETIC,-0.001,0.035,9.740,-0.208,-0.090,-0.055,101327.2,,,,,,,,0
0.940,SYNTHETIC,-0.086,-0.082,9.777,0.005,0.059,0.099,101322.8,,,,,,,,0
0.960,SYNTHETIC,0.016,0.068,9.919,-0.048,0.115,0.111,101320.6,,,,,,,,0
0.980,SYNTHETIC,0.018,0.049,9.815,0.062,-0.040,0.142,101328.6,,,,,,,,0
