timestamp,flight_state,est_altitude_m,est_vertical_velocity_mps,baro_altitude_m,imu_ok,baro_ok,gnss_ok,temp_ok,battery_ok,gps_fix
0.000,PRELAUNCH,0.00,0.00,0.00,1,1,1,1,1,0
0.020,PRELAUNCH,0.05,0.00,0.05,1,1,1,1,1,0
0.040,PRELAUNCH,-0.02,-0.14,-0.09,1,1,1,1,1,0
0.060,PRELAUNCH,0.01,0.00,0.05,1,1,1,1,1,0
0.080,PRELAUNCH,-0.04,-0.38,-0.14,1,1,1,1,1,0
0.100,PRELAUNCH,-0.04,-0.30,-0.02,1,1,1,1,1,0
0.120,PRELAUNCH,-0.09,-0.72,-0.19,1,1,1,1,1,0
0.140,PRELAUNCH,-0.23,-1.84,-0.50,1,1,1,1,1,0
0.160,PRELAUNCH,-0.13,-0.67,0.18,1,1,1,1,1,0
0.180,PRELAUNCH,-0.17,-0.88,-0.23,1,1,1,1,1,0
0.200,PRELAUNCH,-0.14,-0.54,-0.02,1,1,1,1,1,0
0.220,PRELAUNCH,-0.10,-0.20,0.03,1,1,1,1,1,0
0.240,PRELAUNCH,-0.04,0.20,0.14,1,1,1,1,1,0
0.260,PRELAUNCH,-0.10,-0.15,-0.27,1,1,1,1,1,0
0.280,PRELAUNCH,0.00,0.36,0.30,1,1,1,1,1,0
0.300,PRELAUNCH,0.05,0.59,0.20,1,1,1,1,1,0
0.320,PRELAUNCH,0.02,0.42,-0.10,1,1,1,1,1,0
0.340,PRELAUNCH,0.00,0.27,-0.13,1,1,1,1,1,0
0.360,PRELAUNCH,0.03,0.37,0.12,1,1,1,1,1,0
0.380,PRELAUNCH,-0.03,0.12,-0.29,1,1,1,1,1,0
0.400,PRELAUNCH,-0.02,0.12,-0.03,1,1,1,1,1,0
0.420,PRELAUNCH,-0.07,-0.04,-0.27,1,1,1,1,1,0
0.440,PRELAUNCH,-0.02,0.13,0.23,1,1,1,1,1,0
0.460,PRELAUNCH,0.06,0.39,0.47,1,1,1,1,1,0
0.480,PRELAUNCH,0.09,0.44,0.17,1,1,1,1,1,0
0.500,PRELAUNCH,0.12,0.50,0.24,1,1,1,1,1,0
0.520,PRELAUNCH,0.11,0.46,0.03,1,1,1,1,1,0
0.540,PRELAUNCH,0.10,0.41,-0.01,1,1,1,1,1,0
0.560,PRELAUNCH,0.08,0.34,-0.10,1,1,1,1,1,0
0.580,PRELAUNCH,0.08,0.32,0.03,1,1,1,1,1,0
0.600,PRELAUNCH,0.07,0.26,-0.08,1,1,1,1,1,0
0.620,PRELAUNCH,-0.01,0.05,-0.63,1,1,1,1,1,0
0.640,PRELAUNCH,0.01,0.10,0.17,1,1,1,1,1,0
0.660,PRELAUNCH,0.00,0.08,-0.08,1,1,1,1,1,0
0.680,PRELAUNCH,-0.04,-0.02,-0.39,1,1,1,1,1,0
0.700,PRELAUNCH,0.04,0.15,0.68,1,1,1,1,1,0
0.720,PRELAUNCH,0.05,0.17,0.16,1,1,1,1,1,0
0.740,PRELAUNCH,0.03,0.13,-0.15,1,1,1,1,1,0
0.760,PRELAUNCH,0.01,0.08,-0.18,1,1,1,1,1,0
0.780,PRELAUNCH,-0.01,0.02,-0.29,1,1,1,1,1,0
0.800,PRELAUNCH,-0.03,-0.01,-0.21,1,1,1,1,1,0
0.820,PRELAUNCH,-0.05,-0.05,-0.25,1,1,1,1,1,0
0.840,PRELAUNCH,-0.07,-0.08,-0.23,1,1,1,1,1,0
0.860,PRELAUNCH,-0.06,-0.06,0.06,1,1,1,1,1,0
0.880,PRELAUNCH,-0.06,-0.05,0.01,1,1,1,1,1,0
0.900,PRELAUNCH,-0.09,-0.11,-0.45,1,1,1,1,1,0
0.920,PRELAUNCH,-0.10,-0.12,-0.20,1,1,1,1,1,0
0.940,PRELAUNCH,-0.08,-0.09,0.17,1,1,1,1,1,0
0.960,PRELAUNCH,-0.05,-0.03,0.34,1,1,1,1,1,0
0.980,PRELAUNCH,-0.07,-0.06,-0.32,1,1,1,1,1,0
1.000,PRELAUNCH,-0.08,-0.07,-0.14,1,1,1,1,1,0
1.020,PRELAUNCH,-0.09,-0.09,-0.23,1,1,1,1,1,0
1.040,PRELAUNCH,-0.08,-0.08,0.00,1,1,1,1,1,0
1.060,PRELAUNCH,-0.04,-0.01,0.55,1,1,1,1,1,0
1.080,PRELAUNCH,-0.02,0.01,0.19,1,1,1,1,1,0
1.100,PRELAUNCH,-0.01,0.02,0.09,1,1,1,1,1,0
1.120,PRELAUNCH,-0.03,0.00,-0.24,1,1,1,1,1,0
1.140,PRELAUNCH,-0.04,-0.02,-0.19,1,1,1,1,1,0
1.160,PRELAUNCH,-0.02,0.01,0.28,1,1,1,1,1,0
1.180,PRELAUNCH,-0.02,0.01,-0.05,1,1,1,1,1,0
1.200,PRELAUNCH,-0.03,0.00,-0.17,1,1,1,1,1,0
1.220,PRELAUNCH,-0.05,-0.02,-0.27,1,1,1,1,1,0
1.240,PRELAUNCH,-0.01,0.03,0.55,1,1,1,1,1,0
