seq,timestamp,data_source,flight_state,imu_accel_x,imu_accel_y,imu_accel_z,gyro_x,gyro_y,gyro_z,barometric_pressure,altitude,vertical_velocity,temperature,latitude,longitude,gps_altitude,gps_fix,gps_satellites,battery_voltage,separation_detected,quality_flags,crc16
0,0.000000,SYNTHETIC,PRELAUNCH,0.007,0.030,9.789,0.001,-0.101,-0.091,101323.2,0.00,0.00,24.07,,,,0,3,4.101,0,0,E628
1,0.020000,SYNTHETIC,PRELAUNCH,0.033,0.088,9.815,0.130,-0.077,0.045,101321.9,0.05,0.00,,,,,,,,0,0,3B91
2,0.040000,SYNTHETIC,PRELAUNCH,-0.012,0.068,9.788,-0.170,-0.027,0.037,101324.1,-0.09,-0.14,,,,,,,,0,0,F97E
3,0.060000,SYNTHETIC,PRELAUNCH,-0.013,0.030,9.809,0.074,-0.089,0.058,101322.2,0.05,0.00,,,,,,,,0,0,8BB9
4,0.080000,SYNTHETIC,PRELAUNCH,0.002,-0.026,9.892,0.123,0.027,0.122,101325.0,-0.14,-0.38,,,,,,,,0,0,17BA
5,0.100000,SYNTHETIC,PRELAUNCH,0.081,-0.026,9.824,0.004,-0.193,-0.197,101323.6,-0.02,-0.30,,,,,,,,0,0,71B9
6,0.120000,SYNTHETIC,PRELAUNCH,0.013,-0.011,9.804,-0.085,-0.120,0.008,101326.0,-0.19,-0.72,,,,,,,,0,0,0A34
7,0.140000,SYNTHETIC,PRELAUNCH,0.022,0.017,9.798,-0.086,0.025,-0.191,101330.6,-0.50,-1.84,,,,,,,,0,0,5A22
8,0.160000,SYNTHETIC,PRELAUNCH,0.092,-0.019,9.771,0.020,0.102,-0.017,101322.1,0.18,-0.67,,,,,,,,0,0,FA1D
9,0.180000,SYNTHETIC,PRELAUNCH,0.020,0.068,9.842,-0.049,0.017,-0.192,101327.4,-0.23,-0.88,,,,,,,,0,0,B2A3
10,0.200000,SYNTHETIC,PRELAUNCH,-0.026,-0.063,9.865,-0.037,0.103,-0.022,101324.9,-0.02,-0.54,,,,,,,,0,0,8C34
11,0.220000,SYNTHETIC,PRELAUNCH,0.010,0.010,9.808,-0.036,-0.174,-0.093,101324.2,0.03,-0.20,,,,,,,,0,0,3A04
12,0.240000,SYNTHETIC,PRELAUNCH,0.077,0.024,9.729,0.181,0.047,0.023,101322.8,0.14,0.20,,,,,,,,0,0,667B
13,0.260000,SYNTHETIC,PRELAUNCH,0.036,-0.037,9.793,-0.140,0.007,-0.102,101328.0,-0.27,-0.15,,,,,,,,0,0,AED9
14,0.280000,SYNTHETIC,PRELAUNCH,0.060,-0.007,9.823,0.132,-0.009,0.205,101320.9,0.30,0.36,,,,,,,,0,0,09D9
15,0.300000,SYNTHETIC,PRELAUNCH,0.096,-0.037,9.861,-0.169,-0.071,0.014,101321.9,0.20,0.59,,,,,,,,0,0,7212
16,0.320000,SYNTHETIC,PRELAUNCH,0.036,0.117,9.791,0.019,0.050,0.050,101325.6,-0.10,0.42,,,,,,,,0,0,56B8
17,0.340000,SYNTHETIC,PRELAUNCH,-0.079,0.095,9.827,0.139,-0.083,-0.044,101326.0,-0.13,0.27,,,,,,,,0,0,3A10
18,0.360000,SYNTHETIC,PRELAUNCH,-0.022,0.049,9.799,0.132,-0.083,0.070,101322.9,0.12,0.37,,,,,,,,0,0,F72D
19,0.380000,SYNTHETIC,PRELAUNCH,0.045,-0.011,9.744,-0.082,0.104,-0.190,101328.1,-0.29,0.12,,,,,,,,0,0,6FD0
