rx_time_s,seq,time_s,simulated,flight_state,altitude_m,vertical_velocity_mps,accel_axial_mps2,accel_magnitude_mps2,temperature_c,latitude_deg,longitude_deg,gps_altitude_m,gps_fix,gps_satellites,battery_voltage_v,separation,imu_ok,baro_ok,gnss_ok,temp_ok,battery_ok
0.0,0,0.0,True,PRELAUNCH,0.0,0.0,9.79,9.79,24.07,,,,0,3,4.101,False,True,True,True,True,True
0.2,1,0.2,True,PRELAUNCH,-0.1,-0.54,9.86,9.87,24.07,,,,0,3,4.101,False,True,True,True,True,True
0.4,2,0.4,True,PRELAUNCH,0.0,0.12,9.85,9.85,24.07,,,,0,3,4.101,False,True,True,True,True,True
0.6,3,0.6,True,PRELAUNCH,0.1,0.26,9.87,9.87,24.07,,,,0,3,4.101,False,True,True,True,True,True
0.8,4,0.8,True,PRELAUNCH,0.0,-0.01,9.82,9.82,24.07,,,,0,3,4.101,False,True,True,True,True,True
1.0,5,1.0,True,PRELAUNCH,-0.1,-0.07,9.77,9.77,23.97,,,,0,3,4.101,False,True,True,True,True,True
1.2,6,1.2,True,PRELAUNCH,0.0,0.0,9.76,9.76,23.97,,,,0,3,4.101,False,True,True,True,True,True
1.4,7,1.4,True,PRELAUNCH,0.0,0.04,9.76,9.76,23.97,,,,0,3,4.101,False,True,True,True,True,True
1.6,8,1.6,True,PRELAUNCH,0.0,0.02,9.93,9.93,23.97,,,,0,3,4.101,False,True,True,True,True,True
1.8,9,1.8,True,PRELAUNCH,0.0,-0.01,9.76,9.76,23.97,,,,0,3,4.101,False,True,True,True,True,True
2.0,10,2.0,True,PRELAUNCH,0.0,-0.01,9.77,9.77,23.85,-2.63e-05,2.4e-05,2.4,3,9,4.105,False,True,True,True,True,True
2.2,11,2.2,True,PRELAUNCH,0.0,0.01,9.82,9.82,23.85,-2.63e-05,2.4e-05,2.4,3,9,4.105,False,True,True,True,True,True
2.4,12,2.4,True,PRELAUNCH,0.0,0.04,9.82,9.82,23.85,-2.63e-05,2.4e-05,2.4,3,9,4.105,False,True,True,True,True,True
2.6,13,2.6,True,PRELAUNCH,0.0,0.01,9.77,9.77,23.85,-2.63e-05,2.4e-05,2.4,3,9,4.105,False,True,True,True,True,True
2.8,14,2.8,True,PRELAUNCH,0.0,-0.02,9.87,9.87,23.85,-2.63e-05,2.4e-05,2.4,3,9,4.105,False,True,True,True,True,True
3.0,15,3.0,True,PRELAUNCH,0.0,0.03,9.82,9.82,23.82,1e-06,1.2e-06,3.3,3,9,4.103,False,True,True,True,True,True
3.2,16,3.2,True,PRELAUNCH,0.0,-0.02,9.79,9.79,23.82,1e-06,1.2e-06,3.3,3,9,4.103,False,True,True,True,True,True
3.4,17,3.4,True,PRELAUNCH,-0.1,-0.06,9.83,9.83,23.82,1e-06,1.2e-06,3.3,3,9,4.103,False,True,True,True,True,True
3.6,18,3.6,True,PRELAUNCH,-0.1,-0.07,9.79,9.79,23.82,1e-06,1.2e-06,3.3,3,9,4.103,False,True,True,True,True,True
3.8,19,3.8,True,PRELAUNCH,0.0,0.0,9.82,9.83,23.82,1e-06,1.2e-06,3.3,3,9,4.103,False,True,True,True,True,True
4.0,20,4.0,True,PRELAUNCH,0.0,0.0,9.8,9.8,23.73,-5.4e-06,4.1e-06,-3.8,3,9,4.099,False,True,True,True,True,True
4.2,21,4.2,True,PRELAUNCH,0.0,0.02,9.76,9.76,23.73,-5.4e-06,4.1e-06,-3.8,3,9,4.099,False,True,True,True,True,True
4.4,22,4.4,True,PRELAUNCH,0.0,0.03,9.78,9.78,23.73,-5.4e-06,4.1e-06,-3.8,3,9,4.099,False,True,True,True,True,True
4.6,23,4.6,True,PRELAUNCH,0.0,0.01,9.81,9.81,23.73,-5.4e-06,4.1e-06,-3.8,3,9,4.099,False,True,True,True,True,True
4.8,24,4.8,True,PRELAUNCH,0.0,0.03,9.71,9.71,23.73,-5.4e-06,4.1e-06,-3.8,3,9,4.099,False,True,True,True,True,True
5.0,25,5.0,True,PRELAUNCH,0.0,0.05,9.82,9.82,23.67,-3.1e-06,-1.21e-05,3.5,3,9,4.094,False,True,True,True,True,True
5.2,26,5.2,True,ASCENT,0.9,9.04,54.95,54.95,23.67,-3.1e-06,-1.21e-05,3.5,3,9,4.094,False,True,True,True,True,True
5.4,27,5.4,True,ASCENT,3.6,18.01,54.23,54.24,23.67,-3.1e-06,-1.21e-05,3.5,3,9,4.094,False,True,True,True,True,True
5.6,28,5.6,True,ASCENT,8.1,26.88,52.82,52.84,23.67,-3.1e-06,-1.21e-05,3.5,3,9,4.094,False,True,True,True,True,True
5.8,29,5.8,True,ASCENT,14.4,35.68,53.44,53.44,23.67,-3.1e-06,-1.21e-05,3.5,3,9,4.094,False,True,True,True,True,True
6.0,30,6.0,True,ASCENT,22.4,44.28,52.67,52.67,23.56,-3.1e-06,-1.21e-05,3.5,3,9,4.095,False,True,True,True,True,True
6.2,31,6.2,True,ASCENT,32.1,52.77,51.35,51.36,23.56,-3.1e-06,-1.21e-05,3.5,3,9,4.095,False,True,True,True,True,True
