group,parameter,value,unit,apogee_m,v_max_mps,a_max_g,rail_exit_v_mps,sm_liftoff,sm_rail_exit,sm_burnout,descent_rate_mps,t_apogee_s
Airframe mass,mass_scale,0.8,x,429.6314,99.7943,9.3061,13.1461,2.5018,2.5432,2.8459,4.5762,9.3866
Airframe mass,mass_scale,0.9,x,376.3212,89.1892,8.2744,12.3907,2.5749,2.6149,2.8866,4.8380,8.9624
Airframe mass,mass_scale,1.0,x,328.2359,80.2951,7.4305,11.7356,2.6348,2.6735,2.9196,5.0863,8.5128
Airframe mass,mass_scale,1.1,x,285.9518,72.7502,6.7273,11.1597,2.6846,2.7223,2.9469,5.3230,8.0625
Airframe mass,mass_scale,1.2,x,249.3406,66.2823,6.1324,10.6477,2.7268,2.7635,2.9698,5.5497,7.6265
Payload mass,payload_g,0,g,328.2359,80.2951,7.4305,11.7356,2.6348,2.6735,2.9196,5.0863,8.5128
Payload mass,payload_g,50,g,308.3018,76.7182,7.0958,11.4652,2.8243,2.8636,3.1060,5.1952,8.3072
Payload mass,payload_g,100,g,289.5786,73.3920,6.7867,11.2096,2.9994,3.0392,3.2775,5.3018,8.1032
Payload mass,payload_g,150,g,272.0371,70.2917,6.5004,10.9672,3.1616,3.2017,3.4359,5.4064,7.9021
Payload mass,payload_g,200,g,255.6383,67.3959,6.2343,10.7371,3.3123,3.3528,3.5826,5.5089,7.7048
Payload mass,payload_g,300,g,226.0631,62.1449,5.7551,10.3094,3.5838,3.6247,3.8458,5.7085,7.3244
Airframe CG shift,cg_shift_mm,-30,mm,328.2359,80.2951,7.4305,11.7356,3.0480,3.0895,3.3525,5.0863,8.5128
Airframe CG shift,cg_shift_mm,-20,mm,328.2359,80.2951,7.4305,11.7356,2.9103,2.9508,3.2082,5.0863,8.5128
Airframe CG shift,cg_shift_mm,-10,mm,328.2359,80.2951,7.4305,11.7356,2.7725,2.8122,3.0639,5.0863,8.5128
Airframe CG shift,cg_shift_mm,0,mm,328.2359,80.2951,7.4305,11.7356,2.6348,2.6735,2.9196,5.0863,8.5128
Airframe CG shift,cg_shift_mm,10,mm,328.2359,80.2951,7.4305,11.7356,2.4970,2.5349,2.7753,5.0863,8.5128
Airframe CG shift,cg_shift_mm,20,mm,328.2359,80.2951,7.4305,11.7356,2.3593,2.3963,2.6310,5.0863,8.5128
Airframe CG shift,cg_shift_mm,30,mm,328.2359,80.2951,7.4305,11.7356,2.2215,2.2576,2.4867,5.0863,8.5128
Drag coefficient,cd_scale,0.7,x,350.1798,81.1675,7.4306,11.7372,2.6348,2.6735,2.9196,5.0863,8.8651
Drag coefficient,cd_scale,0.8,x,342.4275,80.8735,7.4305,11.7367,2.6348,2.6735,2.9196,5.0863,8.7414
Drag coefficient,cd_scale,0.9,x,335.1269,80.5827,7.4305,11.7361,2.6348,2.6735,2.9196,5.0863,8.6242
Drag coefficient,cd_scale,1.0,x,328.2359,80.2951,7.4305,11.7356,2.6348,2.6735,2.9196,5.0863,8.5128
Drag coefficient,cd_scale,1.1,x,321.7174,80.0107,7.4304,11.7350,2.6348,2.6735,2.9196,5.0863,8.4068
Drag coefficient,cd_scale,1.2,x,315.5393,79.7293,7.4304,11.7345,2.6348,2.6735,2.9196,5.0863,8.3057
Drag coefficient,cd_scale,1.3,x,309.6730,79.4510,7.4304,11.7339,2.6348,2.6735,2.9196,5.0863,8.2092
Air density,density_scale,0.9,x,334.9163,80.5752,7.4305,11.7361,2.6348,2.6735,2.9196,5.3615,8.6193
Air density,density_scale,0.95,x,331.5357,80.4350,7.4305,11.7358,2.6348,2.6735,2.9196,5.2185,8.5655
Air density,density_scale,1.0,x,328.2359,80.2951,7.4305,11.7356,2.6348,2.6735,2.9196,5.0863,8.5128
Air density,density_scale,1.05,x,325.0158,80.1556,7.4305,11.7354,2.6348,2.6735,2.9196,4.9637,8.4613
Air density,density_scale,1.1,x,321.8739,80.0166,7.4304,11.7351,2.6348,2.6735,2.9196,4.8496,8.4108
Site elevation,site_elevation_m,0,m,328.2359,80.2951,7.4305,11.7356,2.6348,2.6735,2.9196,5.0863,8.5128
Site elevation,site_elevation_m,500,m,331.3563,80.4271,7.4305,11.7358,2.6348,2.6735,2.9196,5.2106,8.5629
Site elevation,site_elevation_m,1000,m,334.4360,80.5547,7.4305,11.7360,2.6348,2.6735,2.9196,5.3394,8.6121
Site elevation,site_elevation_m,1500,m,337.4715,80.6780,7.4305,11.7362,2.6348,2.6735,2.9196,5.4729,8.6604
Site elevation,site_elevation_m,2000,m,340.4594,80.7970,7.4305,11.7365,2.6348,2.6735,2.9196,5.6114,8.7079
ISA temperature offset,temp_offset_K,-15,K,324.6828,80.1408,7.4305,11.7354,2.6348,2.6735,2.9196,4.9521,8.4566
ISA temperature offset,temp_offset_K,0,K,328.2359,80.2951,7.4305,11.7356,2.6348,2.6735,2.9196,5.0863,8.5128
ISA temperature offset,temp_offset_K,15,K,331.4851,80.4333,7.4305,11.7358,2.6348,2.6735,2.9196,5.2170,8.5641
ISA temperature offset,temp_offset_K,30,K,334.4549,80.5572,7.4305,11.7360,2.6348,2.6735,2.9196,5.3446,8.6107
Launch rail length,rail_length_m,1.0,m,328.2359,80.2951,7.4305,11.7356,2.6348,2.6735,2.9196,5.0863,8.5128
Launch rail length,rail_length_m,1.5,m,328.2359,80.2951,7.4305,14.4130,2.6348,2.6823,2.9196,5.0863,8.5128
Launch rail length,rail_length_m,2.0,m,328.2359,80.2951,7.4305,16.6462,2.6348,2.6896,2.9196,5.0863,8.5128
Launch rail length,rail_length_m,2.5,m,328.2359,80.2951,7.4305,18.5979,2.6348,2.6961,2.9196,5.0863,8.5128
