t_s,altitude_m,velocity_mps,accel_mps2,mass_kg,thrust_N,drag_N,cd,mach,q_Pa,cg_mm,static_margin_cal,phase
0.0000,0.000,0.000,0.000,1.21070,0.00,0.000,1.1758,0.0000,0.0,696.42,2.6348,pad
0.0010,0.000,0.000,0.000,1.21070,2.00,0.000,1.1508,0.0000,0.0,696.42,2.6348,pad
0.0020,0.000,0.000,0.000,1.21070,4.00,0.000,1.1508,0.0000,0.0,696.42,2.6348,pad
0.0030,0.000,0.000,0.000,1.21070,6.00,0.000,1.1508,0.0000,0.0,696.42,2.6348,pad
0.0040,0.000,0.000,0.000,1.21069,8.00,0.000,1.1508,0.0000,0.0,696.42,2.6348,pad
0.0050,0.000,0.000,0.000,1.21069,10.00,0.000,1.1508,0.0000,0.0,696.42,2.6348,pad
0.0060,0.000,0.000,0.105,1.21068,12.00,0.000,1.1508,0.0000,0.0,696.42,2.6348,rail
0.0070,0.000,0.001,1.757,1.21068,14.00,0.000,1.1508,0.0000,0.0,696.41,2.6349,rail
0.0080,0.000,0.004,3.409,1.21067,16.00,0.000,1.1508,0.0000,0.0,696.41,2.6349,rail
0.0090,0.000,0.008,5.061,1.21066,18.00,0.000,1.1508,0.0000,0.0,696.41,2.6349,rail
0.0100,0.000,0.014,6.713,1.21065,20.00,0.000,1.1508,0.0000,0.0,696.41,2.6350,rail
0.0110,0.000,0.021,8.366,1.21064,22.00,0.000,1.1508,0.0001,0.0,696.40,2.6350,rail
0.0120,0.000,0.030,10.018,1.21063,24.00,0.000,1.1508,0.0001,0.0,696.40,2.6351,rail
0.0130,0.000,0.041,11.670,1.21062,26.00,0.000,1.1508,0.0001,0.0,696.40,2.6352,rail
0.0140,0.000,0.054,13.322,1.21061,28.00,0.000,1.1508,0.0002,0.0,696.39,2.6352,rail
0.0150,0.000,0.068,14.975,1.21059,30.00,0.000,1.1508,0.0002,0.0,696.39,2.6353,rail
0.0160,0.000,0.084,16.627,1.21058,32.00,0.000,1.1508,0.0002,0.0,696.38,2.6354,rail
0.0170,0.000,0.101,18.279,1.21056,34.00,0.000,1.1508,0.0003,0.0,696.38,2.6354,rail
0.0180,0.000,0.120,19.932,1.21055,36.00,0.000,1.1508,0.0004,0.0,696.37,2.6355,rail
0.0190,0.001,0.141,21.585,1.21053,38.00,0.000,1.1306,0.0004,0.0,696.37,2.6356,rail
0.0200,0.001,0.163,23.237,1.21051,40.00,0.000,1.1011,0.0005,0.0,696.36,2.6357,rail
0.0210,0.001,0.187,24.890,1.21049,42.00,0.000,1.0745,0.0006,0.0,696.35,2.6358,rail
0.0220,0.001,0.213,26.543,1.21047,44.00,0.000,1.0502,0.0006,0.0,696.35,2.6359,rail
